fuente,ciudad,fecha,especie,localidad_zona,barrio,evento,atenciones,caninos,felinos,maltrato_atendidos,maltrato_aprehendidos,urgencias,microchip,castrados,potencialmente_peligroso
CALI_ADOPTADOS,CALI,2024-07-13,CANINO,SIN_DATO,JAMUNDI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-13,CANINO,SIN_DATO,JAMUNDI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-13,CANINO,17,CIUDAD CAPRI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-13,FELINO,3,SAN CAYETANO,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-15,FELINO,3,SAN CAYETANO,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-15,FELINO,18,LOS CHORROS,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-15,CANINO,17,BOCHALEMA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-17,CANINO,12,NUEVA FLORESTA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-20,FELINO,17,LIMONAR,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-21,CANINO,18,ALTO NAPOLES,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-23,CANINO,19,TEQUENDAMA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-24,FELINO,17,PRIMERO DE MAYO,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-24,FELINO,17,PRIMERO DE MAYO,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-26,CANINO,17,VALLE DEL LILI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-27,FELINO,17,LIMONAR,ADOPCION,1,0,1,0,0,0,0,0,0
